cell_id,lac,mnc,latitud,longitud,fecha,observacion,operador
13796427,43401,2,-17.401505,-66.185226,2021-06-21 18:48:53.159967,ninguna,
13796421,43401,2,-17.401571,-66.18516,2021-06-21 18:48:53.159877,ninguna,
13796428,43401,2,-17.401928,-66.185961,2021-06-21 18:48:53.159786,ninguna,
14049,17460,3,-17.401098,-66.180704,2021-06-21 18:48:53.159696,ninguna,
20897,1210,1,-17.401853,-66.168594,2021-06-21 18:48:53.159605,ninguna,
20697,1210,1,-17.400783,-66.168594,2021-06-21 18:48:53.159514,ninguna,
5280881,17800,3,-17.400742,-66.177978,2021-06-21 18:48:53.159425,ninguna,
34001,17461,3,-17.404256,-66.183303,2021-06-21 18:48:53.159335,ninguna,
34141,17461,3,-17.404403686523,-66.183700561523,2021-06-21 18:48:53.159243,ninguna,
5280964,17800,3,-17.405502,-66.169693,2021-06-21 18:48:53.159153,ninguna,
5271123,17800,3,-17.403215,-66.168715,2021-06-21 18:48:53.159063,ninguna,
5261123,17800,3,-17.400283813477,-66.168594360352,2021-06-21 18:48:53.158971,ninguna,
38243,17800,3,-17.405776977539,-66.176834106445,2021-06-21 18:48:53.158880,ninguna,
28001,17800,3,-17.406169,-66.175657,2021-06-21 18:48:53.158789,ninguna,
2972905,17800,3,-17.402573,-66.168593,2021-06-21 18:48:53.158699,ninguna,
24049,17460,3,-17.397812,-66.183151,2021-06-21 18:48:53.158608,ninguna,
24096,17460,3,-17.398813,-66.18543,2021-06-21 18:48:53.158518,ninguna,
5260918,17800,3,-17.397316,-66.164856,2021-06-21 18:48:53.158427,ninguna,
5270920,17800,3,-17.401247,-66.166307,2021-06-21 18:48:53.158336,ninguna,
5276217,43400,2,-17.397537231445,-66.16584777832,2021-06-21 18:48:53.158245,ninguna,
5276748,43400,2,-17.401657104492,-66.185073852539,2021-06-21 18:48:53.158154,ninguna,
5280918,17800,3,-17.397373,-66.166464,2021-06-21 18:48:53.158063,ninguna,
131944865,1200,1,-17.405776977539,-66.174087524414,2021-06-21 18:48:53.157970,ninguna,
13193633,1200,1,-17.405434,-66.174088,2021-06-21 18:48:53.157879,ninguna,
20133,202,1,-17.402049,-66.183112,2021-06-21 18:48:53.157787,ninguna,
131944105,1200,1,-17.402172,-66.184216,2021-06-21 18:48:53.157696,ninguna,
13193901,1200,1,-17.398911,-66.165848,2021-06-21 18:48:53.157605,ninguna,
13192842,1200,1,-17.398911,-66.165848,2021-06-21 18:48:53.157513,ninguna,
13193302,1200,1,-17.404403686523,-66.16584777832,2021-06-21 18:48:53.157419,ninguna,
13193631,1200,1,-17.404403686523,-66.16584777832,2021-06-21 18:48:53.157324,ninguna,
5270929,17800,3,-17.399874,-66.185524,2021-06-21 18:48:53.157227,ninguna,
5280907,17800,3,-17.399394,-66.167594,2021-06-21 18:48:53.157081,ninguna,
